w782,tor,tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2022/12/8,2.804,0.36%,开放申购,开放赎回,,,
2022/12/7,2.794,0.04%,开放申购,开放赎回,,,
2022/12/6,2.793,-2.48%,开放申购,开放赎回,,,
2022/12/5,2.864,-2.09%,开放申购,开放赎回,,,
2022/12/2,2.925,-1.05%,开放申购,开放赎回,,,
2022/12/1,2.956,-0.94%,开放申购,开放赎回,,,
2022/11/30,2.984,3.11%,开放申购,开放赎回,,,
2022/11/29,2.894,0.24%,开放申购,开放赎回,,,
2022/11/28,2.887,-1.20%,开放申购,开放赎回,,,
2022/11/25,2.922,0.00%,开放申购,开放赎回,,,
2022/11/24,2.922,-0.14%,暂停申购,暂停赎回,,,
2022/11/23,2.926,0.14%,开放申购,开放赎回,,,
2022/11/22,2.922,2.10%,开放申购,开放赎回,,,
